product_id,Name,product_price,color,details
UB021,RedTape UltraBoost 21,$180.00,Core Black,High-performance running shoes with responsive Boost cushioning.
SS002,RedTape Superstar,$90.00,White/Black,"Classic shell-toe design, leather upper, and iconic 3-stripes."
NMD001,RedTape NMD_R1,$140.00,Grey/Red,Modern streetwear sneaker with flexible knit upper and EVA plugs.
ST001,RedTape Stan Smith,$100.00,White/Green,Timeless tennis shoe with perforated 3-stripes and green accents.
FL011,RedTape Forum Low,$130.00,White/Blue,Retro basketball shoes with adjustable strap and durable construction.
ADL009,RedTape Adilette Slides,$45.00,Navy Blue,Classic slip-on slides with contoured footbed for comfort.
TRX010,RedTape Terrex Trail,$120.00,Black/Orange,Durable trail running shoes with grippy outsole for rugged terrain.
PM008,RedTape Pro Model High Top,$110.00,White/Gold,High-top basketball shoes with shell toe and ankle support.
GCK003,RedTape Grand Court Kids,$60.00,White/Pink,Comfortable kids' sneakers with classic 3-stripes and cushioned insole.
TR360,RedTape Tour360,$200.00,White/Black,Premium golf shoes with waterproof leather and 360Wrap support.
ZX100,RedTape ZX 100,$110.00,Black/Orange,Lightweight running shoes with mesh upper and cushioned sole.
EQT200,RedTape EQT Support,$120.00,Navy/White,Supportive sneakers with Torsion system and suede overlays.
SL500,RedTape SL 500,$95.00,Grey/Blue,Classic low-top sneakers with rubber outsole and soft lining.
PRIMEK,RedTape PrimeKnit,$150.00,Red/Black,Flexible knit upper with sock-like fit and responsive midsole.
ADV300,RedTape ADV 300,$125.00,White/Gold,Modern design with advanced cushioning and premium materials.